"Onderwerpen";"Bevolking op 1 januari";"Bevolking op 1 januari";"Bevolking op 1 januari";"Bevolking op 1 januari";"Bevolking op 1 januari";"Bevolking op 1 januari";"Bevolking op 1 januari";"Bevolking op 1 januari";"Bevolking op 1 januari";"Bevolking op 1 januari";"Bevolking op 1 januari";"Bevolking op 1 januari";"Bevolking op 1 januari";"Bevolking op 1 januari";"Bevolking op 1 januari";"Bevolking op 1 januari";"Bevolking op 1 januari";"Bevolking op 1 januari";"Bevolking op 1 januari";"Bevolking op 1 januari";"Bevolking op 1 januari"
"Onderwerpen";"Naar geslacht";"Naar geslacht";"Naar geslacht";"Naar leeftijd";"Naar leeftijd";"Naar leeftijd";"Naar leeftijd";"Naar leeftijd";"Naar burgerlijke staat";"Naar burgerlijke staat";"Naar burgerlijke staat";"Naar burgerlijke staat";"Naar landsdeel";"Naar landsdeel";"Naar landsdeel";"Naar landsdeel";"Grootteklasse van gemeenten";"Grootteklasse van gemeenten";"Grootteklasse van gemeenten";"Grootteklasse van gemeenten";"Grootteklasse van gemeenten"
"Onderwerpen";"Mannen en vrouwen";"Mannen";"Vrouwen";"0 tot 20 jaar";"20 tot 45 jaar";"45 tot 65 jaar";"65 tot 80 jaar";"80 jaar of ouder";"Ongehuwd";"Gehuwd";"Verweduwd";"Gescheiden";"Noord-Nederland";"Oost-Nederland";"West-Nederland";"Zuid-Nederland";"Bevolking";"Bevolking";"Bevolking";"Bevolking";"Bevolking"
"Onderwerpen";"Mannen en vrouwen";"Mannen";"Vrouwen";"0 tot 20 jaar";"20 tot 45 jaar";"45 tot 65 jaar";"65 tot 80 jaar";"80 jaar of ouder";"Ongehuwd";"Gehuwd";"Verweduwd";"Gescheiden";"Noord-Nederland";"Oost-Nederland";"West-Nederland";"Zuid-Nederland";"In gemeenten met < 5 000 inwoners";"In gemeenten met 5 000 tot 20 000 inw...";"In gemeenten met 20 000 tot 50 000 inw..";"In gemeenten met 50 000 tot 100 000 in..";"In gemeenten met 100 000 of meer inw..."
"Perioden";"x 1 000";"x 1 000";"x 1 000";"x 1 000";"x 1 000";"x 1 000";"x 1 000";"x 1 000";"x 1 000";"x 1 000";"x 1 000";"x 1 000";"x 1 000";"x 1 000";"x 1 000";"x 1 000";"x 1 000";"x 1 000";"x 1 000";"x 1 000";"x 1 000"
"1940";"8834";"4408";"4426";"3316";"3303";"1602";"538";"75";".";".";".";".";"1095";"1501";"4595";"1643";"1602";"2664";"1097";"1005";"2465"
"1941";"8923";"4454";"4469";"3317";"3351";"1631";"550";"75";".";".";".";".";"1105";"1523";"4619";"1672";"1595";"2727";"1116";"1024";"2458"
"1942";"9008";"4497";"4511";"3318";"3392";"1661";"562";"76";".";".";".";".";"1116";"1543";"4627";"1700";"1563";"2689";"1016";"1111";"2606"
"1943";"9076";"4530";"4546";"3322";"3419";"1683";"576";"76";".";".";".";".";"1131";"1569";"4618";"1731";"1521";"2798";"1028";"1119";"2582"
"1944";"9129";"4558";"4571";"3334";"3441";"1694";"581";"78";".";".";".";".";"1150";"1616";"4553";"1769";"1516";"2768";"1141";"1050";"2615"
"1945";"9220";"4603";"4617";"3369";"3462";"1715";"593";"81";".";".";".";".";"1158";"1638";"4545";"1806";"1476";"2858";"1135";"1064";"2616"
"1946";"9304";"4634";"4670";"3390";"3495";"1741";"597";"81";".";".";".";".";"1162";"1627";"4631";"1820";"1503";"2761";"1243";"1072";"2663"
"1947";"9543";"4748";"4794";"3522";"3521";"1796";"618";"86";"5124";"4003";"430";"68";"1174";"1653";"4819";"1846";"1500";"2856";"1256";"1001";"2881"
"1948";"9716";"4838";"4878";"3615";"3541";"1833";"636";"91";"5153";"4063";"430";"70";"1187";"1684";"4921";"1884";"1478";"2849";"1381";"1021";"2949"
"1949";"9884";"4926";"4959";"3682";"3576";"1875";"654";"97";"5222";"4158";"432";"73";"1198";"1714";"5007";"1928";"1466";"2874";"1468";"937";"3106"
"1950";"10027";"4998";"5029";"3742";"3597";"1916";"671";"100";"5284";"4232";"436";"75";"1206";"1744";"5068";"1965";"1464";"2881";"1557";"951";"3144"
"1951";"10200";"5084";"5117";"3806";"3639";"1961";"690";"104";"5354";"4330";"440";"76";"1215";"1780";"5155";"2007";"1434";"2944";"1585";"1017";"3193"
"1952";"10328";"5146";"5183";"3854";"3654";"2002";"711";"108";"5385";"4422";"444";"78";"1218";"1810";"5216";"2048";"1430";"2979";"1484";"1184";"3225"
"1953";"10436";"5198";"5238";"3895";"3656";"2042";"730";"114";"5410";"4498";"449";"79";"1223";"1833";"5267";"2082";"1405";"3072";"1490";"1202";"3249"
